FACT_DATE,COLLATERAL_TYPE,SECURITY_TYPE,MARKET_VALUE_EUR,COLLATERAL_VALUE_EUR
01/08/2019,B,BANK BONDS,8248720481,7129911698
01/08/2019,B,CORPORATE BONDS,1728904281,1454152532
01/08/2019,B,SOVEREIGN GOVERNMENT BONDS,21936920098,18999466715
01/08/2019,B,STATE AGENCIES,1579347864,1469407400
01/08/2019,B,STATE/MUNICIPAL BONDS,1927441990,1815902711
01/08/2019,B,null,1417270981,1376988192
01/08/2019,C,null,22217146310,21841535094
01/08/2019,S,STOCKS,728543452,549345062
02/08/2019,B,BANK BONDS,8374696835,7231940805
02/08/2019,B,CORPORATE BONDS,1790077517,1501699951
02/08/2019,B,SOVEREIGN GOVERNMENT BONDS,21577517022,18704271223
02/08/2019,B,STATE AGENCIES,1583251699,1472981897
02/08/2019,B,STATE/MUNICIPAL BONDS,1928230231,1817226555
02/08/2019,B,null,1612684538,1563711589
02/08/2019,C,null,23499264290,23129663267
02/08/2019,S,STOCKS,704012789,530488679
05/08/2019,B,BANK BONDS,8309676259,7165010169
05/08/2019,B,CORPORATE BONDS,1779929729,1495777674
05/08/2019,B,SOVEREIGN GOVERNMENT BONDS,21984615542,19038108073
05/08/2019,B,STATE AGENCIES,1545207787,1437251937
05/08/2019,B,STATE/MUNICIPAL BONDS,1862711597,1754151764
05/08/2019,B,null,1395147279,1348582956
05/08/2019,C,null,23080582662,22727528109
05/08/2019,S,STOCKS,669958234,504446170
06/08/2019,B,BANK BONDS,8246017714,7104361408
06/08/2019,B,CORPORATE BONDS,1703931695,1431772020
06/08/2019,B,SOVEREIGN GOVERNMENT BONDS,22033493224,19068857808
06/08/2019,B,STATE AGENCIES,1559503394,1450651189
06/08/2019,B,STATE/MUNICIPAL BONDS,1838479079,1730123436
06/08/2019,B,null,1434817097,1386042749
06/08/2019,C,null,23071102263,22722162772
06/08/2019,S,STOCKS,676761355,509744857
07/08/2019,B,BANK BONDS,8398694956,7270319078
07/08/2019,B,CORPORATE BONDS,1718674413,1442508081
07/08/2019,B,SOVEREIGN GOVERNMENT BONDS,21348282760,18435699474
07/08/2019,B,STATE AGENCIES,1551639326,1441873737
07/08/2019,B,STATE/MUNICIPAL BONDS,1821666743,1713542088
07/08/2019,B,null,1518822044,1466972708
07/08/2019,C,null,23316285571,22967006246
07/08/2019,S,STOCKS,635497128,478071980
08/08/2019,B,BANK BONDS,8350359790,7225211341
08/08/2019,B,CORPORATE BONDS,1751765685,1471365209
08/08/2019,B,SOVEREIGN GOVERNMENT BONDS,21417214042,18499924630
08/08/2019,B,STATE AGENCIES,1554753553,1443832400
08/08/2019,B,STATE/MUNICIPAL BONDS,1850914246,1741473258
08/08/2019,B,null,1486026674,1438622402
08/08/2019,C,null,25026795646,24647481288
08/08/2019,S,STOCKS,653893697,491941699
09/08/2019,B,BANK BONDS,8306304275,7187234920
09/08/2019,B,CORPORATE BONDS,1742863392,1464462088
09/08/2019,B,SOVEREIGN GOVERNMENT BONDS,21470713246,18565414036
09/08/2019,B,STATE AGENCIES,1557302352,1441641183
09/08/2019,B,STATE/MUNICIPAL BONDS,1920564773,1812662010
09/08/2019,B,null,1418018664,1371186991
09/08/2019,C,null,23930255929,23571300969
09/08/2019,S,STOCKS,705282170,528150461
12/08/2019,B,BANK BONDS,8304790990,7197639080
12/08/2019,B,CORPORATE BONDS,1768300883,1488540277
12/08/2019,B,SOVEREIGN GOVERNMENT BONDS,21898154159,18950232837
12/08/2019,B,STATE AGENCIES,1555836942,1436306124
12/08/2019,B,STATE/MUNICIPAL BONDS,1917285730,1813343868
12/08/2019,B,null,1430702275,1382744005
12/08/2019,C,null,23888286927,23530132306
