FACT_DATE,REQUIREMENT_CURRENT,REQUIREMENT_EOP
04/01/2016,3689251560,3690328251
05/01/2016,3687374870,3691328251
06/01/2016,3684562677,3690286774
07/01/2016,3679404279,3690286774
08/01/2016,3677799446,3691286774
11/01/2016,3679906101,3690286774
12/01/2016,3677663189,3691286774
13/01/2016,3674712529,3690286774
14/01/2016,3668315374,3691286774
15/01/2016,3662063521,3691286774
18/01/2016,3657388660,3691286774
19/01/2016,3653006414,3690286774
20/01/2016,3651542680,3691286774
21/01/2016,3648538479,3690286774
22/01/2016,3646095829,3690286774
25/01/2016,3645360107,3690286774
26/01/2016,3645115335,3691286774
27/01/2016,3647215107,3691286774
28/01/2016,3645239270,3692286774
29/01/2016,3642392991,3691286774
01/02/2016,3641432777,3692286774
02/02/2016,3641220717,3692286774
03/02/2016,3635417064,3691286774
04/02/2016,3638362851,3691286774
05/02/2016,3637201137,3691286774
08/02/2016,3636903262,3692286774
09/02/2016,3634455070,3691286774
10/02/2016,3631746292,3691286774
11/02/2016,3630489752,3693286774
12/02/2016,3626673336,3692286774
15/02/2016,3615944950,3679226676
16/02/2016,3612224817,3679226676
17/02/2016,3609772758,3678226676
18/02/2016,3609965717,3679226676
19/02/2016,3607354073,3678226676
22/02/2016,3608199131,3679226676
23/02/2016,3606810638,3678226676
24/02/2016,3609919205,3678226676
25/02/2016,3607619349,3678226676
26/02/2016,3606638763,3678226676
29/02/2016,3605821863,3678226676
01/03/2016,3607009387,3678226676
02/03/2016,3609267525,3678226676
03/03/2016,3608867784,3679226676
04/03/2016,3610249928,3679226676
07/03/2016,3609666005,3679226676
08/03/2016,3610136712,3679226676
09/03/2016,3612728718,3679226676
10/03/2016,3609803135,3679226676
11/03/2016,3608302702,3679226676
14/03/2016,3607903671,3679226676
15/03/2016,3609162352,3680226676
16/03/2016,3609035173,3680226676
17/03/2016,3608009655,3680226676
18/03/2016,3607326905,3680226676
21/03/2016,3606333177,3680226676
22/03/2016,3602759988,3680226676
23/03/2016,3600871597,3680226676
24/03/2016,3595209972,3680226676
29/03/2016,3612668248,3705328983
30/03/2016,3612277090,3705328983
31/03/2016,3606240387,3705328983
01/04/2016,3606673577,3606240387
04/04/2016,3602809483,3606240387
05/04/2016,3598267169,3606240387
06/04/2016,3595741521,3606240387
07/04/2016,3591644977,3606240387
08/04/2016,3585386415,3606240387
11/04/2016,3575918133,3606240387
12/04/2016,3570089919,3606240387
13/04/2016,3566837276,3606240387
14/04/2016,3559959103,3606240387
15/04/2016,3556771509,3607240387
18/04/2016,3547260257,3602240387
19/04/2016,3541622783,3603240387
20/04/2016,3534984855,3603240387
21/04/2016,3531436279,3603240387
22/04/2016,3527025383,3603240387
25/04/2016,3521343035,3603240387
26/04/2016,3516051679,3603240387
27/04/2016,3512684378,3603240387
28/04/2016,3504354121,3603240387
29/04/2016,3500519884,3603240387
02/05/2016,3497873621,3603240387
03/05/2016,3494968056,3603240387
04/05/2016,3493947492,3603240387
05/05/2016,3490223128,3603240387
06/05/2016,3489205818,3603240387
09/05/2016,3487357545,3603240387
10/05/2016,3485401007,3603240387
11/05/2016,3482778688,3603240387
12/05/2016,3478246132,3603240387
13/05/2016,3474899954,3603240387
17/05/2016,3467074754,3603240387
18/05/2016,3463271869,3603240387
19/05/2016,3460744653,3603240387
20/05/2016,3458082729,3603240387
23/05/2016,3463331225,3603240387
24/05/2016,3459848734,3603240387
25/05/2016,3459525673,3603240387
26/05/2016,3457561797,3603240387
27/05/2016,3453608444,3603240387
30/05/2016,3450186805,3603240387
31/05/2016,3446441452,3603240387
01/06/2016,3444582411,3603240387
02/06/2016,3439307517,3603240387
03/06/2016,3435439603,3603240387
06/06/2016,3430382945,3603240387
07/06/2016,3427566648,3603240387
08/06/2016,3424716936,3603240387
09/06/2016,3416268779,3603240387
10/06/2016,3407320850,3603240387
13/06/2016,3395609253,3603240387
14/06/2016,3382913153,3603240387
15/06/2016,3370295914,3603240387
16/06/2016,3358041855,3603240387
17/06/2016,3346320614,3603240387
20/06/2016,3323817156,3603240387
21/06/2016,3309652319,3603240387
22/06/2016,3301439996,3603240387
23/06/2016,3288386636,3603240387
24/06/2016,3284895106,3603240387
27/06/2016,3281604128,3603240387
28/06/2016,3281196883,3603240387
29/06/2016,3286441090,3603240387
30/06/2016,3280016465,3603240387
01/07/2016,3279274833,3280016465
04/07/2016,3277621216,3280016465
05/07/2016,3275274424,3280016465
06/07/2016,3278364337,3280016465
07/07/2016,3271010219,3280016465
08/07/2016,3269283004,3280016465
11/07/2016,3268158438,3280016465
12/07/2016,3267454590,3280016465
13/07/2016,3273269019,3281016465
14/07/2016,3267053447,3281016465
15/07/2016,3266981144,3281016465
18/07/2016,3267220106,3281016465
19/07/2016,3267314281,3281016465
20/07/2016,3266849597,3281016465
21/07/2016,3266035878,3281016465
22/07/2016,3265160759,3281016465
25/07/2016,3266069182,3281016465
26/07/2016,3268813427,3281016465
27/07/2016,3277058179,3281016465
28/07/2016,3274897497,3281016465
29/07/2016,3273106253,3281016465
01/08/2016,3266436250,3281016465
02/08/2016,3267878125,3281016465
03/08/2016,3274180247,3281016465
04/08/2016,3267900036,3281016465
05/08/2016,3265333277,3281016465
08/08/2016,3262853892,3281016465
09/08/2016,3260654423,3281016465
10/08/2016,3262996478,3281016465
11/08/2016,3254406610,3281016465
12/08/2016,3251852696,3281016465
15/08/2016,3247636855,3281016465
16/08/2016,3243603010,3281016465
17/08/2016,3237014648,3281016465
18/08/2016,3230543345,3281016465
19/08/2016,3224643854,3281016465
22/08/2016,3222122585,3281016465
23/08/2016,3213760083,3281016465
24/08/2016,3209435521,3281016465
25/08/2016,3198813235,3286016465
26/08/2016,3188500536,3286016465
29/08/2016,3178119236,3286016465
30/08/2016,3169802993,3286016465
31/08/2016,3166823443,3286016465
01/09/2016,3154173688,3286016465
02/09/2016,3146415193,3286016465
05/09/2016,3138675744,3286016465
06/09/2016,3130742524,3286016465
07/09/2016,3127959452,3286016465
08/09/2016,3116178074,3286016465
09/09/2016,3108882079,3286016465
12/09/2016,3101905644,3286016465
13/09/2016,3095277333,3286016465
14/09/2016,3094331476,3286016465
15/09/2016,3083977459,3286016465
16/09/2016,3079305601,3286016465
19/09/2016,3073801199,3286016465
20/09/2016,3066985624,3286016465
21/09/2016,3060920598,3286016465
22/09/2016,3056218112,3286016465
23/09/2016,3050862945,3286016465
26/09/2016,3045857056,3286016465
27/09/2016,3041398832,3286016465
28/09/2016,3042023940,3286016465
29/09/2016,3033024479,3286016465
30/09/2016,3028617418,3286016465
03/10/2016,3024073895,3028617418
04/10/2016,3020731330,3028617418
05/10/2016,3021469856,3028617418
06/10/2016,3012674110,3028617418
07/10/2016,3008738517,3028617418
10/10/2016,3005624041,3028617418
11/10/2016,3001709568,3028617418
12/10/2016,3002030425,3028617418
13/10/2016,2992324042,3028617418
14/10/2016,2988775406,3028617418
17/10/2016,2984982182,3028617418
18/10/2016,2981708489,3028617418
19/10/2016,2978733794,3028617418
20/10/2016,2976462616,3028617418
21/10/2016,2975343269,3028617418
24/10/2016,2973461947,3028617418
25/10/2016,2970889027,3028617418
26/10/2016,2972027842,3028617418
27/10/2016,2964765338,3028617418
28/10/2016,2961675032,3028617418
31/10/2016,2957979916,3028617418
01/11/2016,2954062365,3028617418
02/11/2016,2955228982,3028617418
03/11/2016,2968826764,3028617418
04/11/2016,2965645014,3028617418
07/11/2016,2961562891,3028617418
08/11/2016,2958013148,3028617418
09/11/2016,2958844795,3028617418
10/11/2016,2953222753,3028617418
11/11/2016,2952392006,3028617418
14/11/2016,2953232403,3028617418
15/11/2016,2953126328,3028617418
16/11/2016,2952694819,3028617418
17/11/2016,2952074458,3028617418
18/11/2016,2949493218,3028617418
21/11/2016,2946843263,3028617418
22/11/2016,2944683055,3028617418
23/11/2016,2946540109,3028617418
24/11/2016,2927943122,3012510618
25/11/2016,2925406244,3012510618
28/11/2016,2903664589,3012510618
29/11/2016,2889489127,3001661730
30/11/2016,2890706929,3001661730
01/12/2016,2883822677,3001661730
02/12/2016,2885410466,3002661730
05/12/2016,2881811321,3002661730
06/12/2016,2878843806,3002661730
07/12/2016,2881105184,3002661730
08/12/2016,2874844228,3002661730
09/12/2016,2873160646,3002661730
12/12/2016,2871610573,3002661730
13/12/2016,2870104666,3002661730
14/12/2016,2872185215,3002661730
15/12/2016,2870403920,3002661730
16/12/2016,2872824753,3002661730
19/12/2016,2874989944,3002661730
20/12/2016,2875952170,3002661730
21/12/2016,2876338990,3002661730
22/12/2016,2873527474,3002661730
23/12/2016,2872023932,3002661730
27/12/2016,2873177714,3002661730
28/12/2016,2878788924,3002661730
29/12/2016,2876155949,3002661730
30/12/2016,2876556533,3002661730
02/01/2017,2878938926,2876556533
03/01/2017,2885675928,2876556533
04/01/2017,2898003533,2876556533
05/01/2017,2904089082,2876556533
06/01/2017,2913890248,2876556533
09/01/2017,2922789066,2876556533
10/01/2017,2933955760,2876556533
11/01/2017,2948593333,2876556533
12/01/2017,2954980510,2876556533
13/01/2017,2965754327,2876556533
16/01/2017,2976321259,2876556533
17/01/2017,2986635680,2876556533
18/01/2017,2996212508,2876556533
19/01/2017,3005182009,2876556533
20/01/2017,3013277616,2876556533
23/01/2017,3022285781,2876556533
24/01/2017,3024802751,2876556533
25/01/2017,3030766222,2876556533
26/01/2017,3037850409,2876556533
27/01/2017,3045064884,2876556533
30/01/2017,3046056043,2876556533
31/01/2017,3047114765,2876556533
01/02/2017,3049991692,2876556533
02/02/2017,3056804349,2876556533
03/02/2017,3058203625,2876556533
06/02/2017,3062509172,2876556533
07/02/2017,3066501727,2876556533
