FACT_DATE,PRODUCT_GROUP,IM_EUR,MEMBER_TYPE
02/08/2019,ASIA COOPERATION PRODUCTS,10183013,CLIENT
02/08/2019,"CASH, REPO, SECLEND BOND",33610598,CLIENT
02/08/2019,"CASH, REPO, SECLEND BOND",1458929380,HOUSE
02/08/2019,"CASH, REPO, SECLEND EQUITY",858188202,CLIENT
02/08/2019,"CASH, REPO, SECLEND EQUITY",515056683,HOUSE
02/08/2019,COMMODITY DERIVATIVES,9808217,CLIENT
02/08/2019,COMMODITY DERIVATIVES,8196838,HOUSE
02/08/2019,CORPORATE BOND LIQUIDATION GROUP,37303,CLIENT
02/08/2019,EQUITY DERIVATIVES,11292387382,CLIENT
02/08/2019,EQUITY DERIVATIVES,6046988274,HOUSE
02/08/2019,FIXED INCOME DERIVATIVES,7874759193,CLIENT
02/08/2019,FIXED INCOME DERIVATIVES,616322779,HOUSE
02/08/2019,FIXED INCOME DERIVATIVES ETF,1350891,CLIENT
02/08/2019,FIXED INCOME DERIVATIVES ETF,933405,HOUSE
02/08/2019,FX DERIVATIVES,1150944,CLIENT
02/08/2019,GC POOLING,396373312,CLIENT
02/08/2019,GC POOLING,2551313555,HOUSE
02/08/2019,OTC IRS,4905909683,CLIENT
02/08/2019,OTC IRS,3707683879,HOUSE
02/08/2019,PRECIOUS METALS DERIVATIVES,4701657,CLIENT
02/08/2019,PRECIOUS METALS DERIVATIVES,7335558,HOUSE
02/08/2019,SUPPLEMENTARY MARGINS,1432439298,CLIENT
02/08/2019,SUPPLEMENTARY MARGINS,997647613,HOUSE
05/08/2019,ASIA COOPERATION PRODUCTS,16572114,CLIENT
05/08/2019,"CASH, REPO, SECLEND BOND",34180843,CLIENT
05/08/2019,"CASH, REPO, SECLEND BOND",1361841958,HOUSE
05/08/2019,"CASH, REPO, SECLEND EQUITY",899183099,CLIENT
05/08/2019,"CASH, REPO, SECLEND EQUITY",554890937,HOUSE
05/08/2019,COMMODITY DERIVATIVES,9800460,CLIENT
05/08/2019,COMMODITY DERIVATIVES,8188039,HOUSE
05/08/2019,CORPORATE BOND LIQUIDATION GROUP,37292,CLIENT
05/08/2019,EQUITY DERIVATIVES,11244400238,CLIENT
05/08/2019,EQUITY DERIVATIVES,6000542569,HOUSE
05/08/2019,FIXED INCOME DERIVATIVES,7857210613,CLIENT
05/08/2019,FIXED INCOME DERIVATIVES,624111016,HOUSE
05/08/2019,FIXED INCOME DERIVATIVES ETF,3283337,CLIENT
05/08/2019,FIXED INCOME DERIVATIVES ETF,1894814,HOUSE
05/08/2019,FX DERIVATIVES,1678989,CLIENT
05/08/2019,GC POOLING,470677564,CLIENT
05/08/2019,GC POOLING,2790257895,HOUSE
05/08/2019,OTC IRS,4981745046,CLIENT
05/08/2019,OTC IRS,3746686958,HOUSE
05/08/2019,PRECIOUS METALS DERIVATIVES,4935156,CLIENT
05/08/2019,PRECIOUS METALS DERIVATIVES,13073853,HOUSE
05/08/2019,SUPPLEMENTARY MARGINS,1599857005,CLIENT
05/08/2019,SUPPLEMENTARY MARGINS,955232173,HOUSE
06/08/2019,ASIA COOPERATION PRODUCTS,8929463,CLIENT
06/08/2019,"CASH, REPO, SECLEND BOND",34100528,CLIENT
06/08/2019,"CASH, REPO, SECLEND BOND",1375167239,HOUSE
06/08/2019,"CASH, REPO, SECLEND EQUITY",786143487,CLIENT
06/08/2019,"CASH, REPO, SECLEND EQUITY",497052291,HOUSE
06/08/2019,COMMODITY DERIVATIVES,8918219,CLIENT
06/08/2019,COMMODITY DERIVATIVES,7442867,HOUSE
06/08/2019,CORPORATE BOND LIQUIDATION GROUP,37400,CLIENT
06/08/2019,EQUITY DERIVATIVES,11213095807,CLIENT
06/08/2019,EQUITY DERIVATIVES,6017197154,HOUSE
06/08/2019,FIXED INCOME DERIVATIVES,7815912674,CLIENT
06/08/2019,FIXED INCOME DERIVATIVES,597874061,HOUSE
06/08/2019,FIXED INCOME DERIVATIVES ETF,3164037,CLIENT
06/08/2019,FIXED INCOME DERIVATIVES ETF,1978284,HOUSE
06/08/2019,FX DERIVATIVES,1497463,CLIENT
06/08/2019,GC POOLING,444132154,CLIENT
06/08/2019,GC POOLING,2949084686,HOUSE
06/08/2019,OTC IRS,4997479554,CLIENT
06/08/2019,OTC IRS,3746605139,HOUSE
06/08/2019,PRECIOUS METALS DERIVATIVES,4965076,CLIENT
06/08/2019,PRECIOUS METALS DERIVATIVES,11909761,HOUSE
06/08/2019,SUPPLEMENTARY MARGINS,1785550409,CLIENT
06/08/2019,SUPPLEMENTARY MARGINS,991232173,HOUSE
07/08/2019,ASIA COOPERATION PRODUCTS,25307119,CLIENT
07/08/2019,"CASH, REPO, SECLEND BOND",34070055,CLIENT
07/08/2019,"CASH, REPO, SECLEND BOND",1411864650,HOUSE
