FACT_DATE,VOLUME,N_CALLS,TYPE
01/08/2019,116483464.7,6,Change of Positions
01/08/2019,190054045.5,6,Market Movement
02/08/2019,437443724.1,11,Change of Positions
02/08/2019,760240989.3,20,Market Movement
05/08/2019,110580486.5,5,Change of Positions
05/08/2019,415072974.4,12,Market Movement
06/08/2019,80860848.24,5,Change of Positions
06/08/2019,168770313.8,7,Market Movement
07/08/2019,165434648.2,6,Change of Positions
07/08/2019,604701608.5,21,Market Movement
08/08/2019,356104484.9,4,Change of Positions
08/08/2019,1301616830,31,Market Movement
09/08/2019,82008930.17,3,Change of Positions
09/08/2019,398636520.8,8,Market Movement
12/08/2019,125488065.5,5,Change of Positions
12/08/2019,191567641.5,7,Market Movement
13/08/2019,57783104.62,2,Change of Positions
13/08/2019,383497148.5,10,Market Movement
14/08/2019,54854129.42,2,Change of Positions
14/08/2019,544747188.7,17,Market Movement
15/08/2019,176251121.1,7,Change of Positions
15/08/2019,455349775.8,15,Market Movement
16/08/2019,166905561.6,5,Change of Positions
16/08/2019,510051141.1,9,Market Movement
19/08/2019,171124921.2,2,Change of Positions
19/08/2019,1047728578,26,Market Movement
20/08/2019,49371253.16,2,Change of Positions
20/08/2019,406561239.8,12,Market Movement
21/08/2019,243000000,2,Change of Positions
21/08/2019,424561239.2,13,Market Movement
22/08/2019,26827393.31,2,Change of Positions
22/08/2019,371466985.1,13,Market Movement
23/08/2019,42371893.36,3,Change of Positions
23/08/2019,319942411.3,15,Market Movement
26/08/2019,159383941.3,6,Change of Positions
26/08/2019,14500000,1,Market Movement
27/08/2019,65356628.24,4,Change of Positions
27/08/2019,162186599.4,6,Market Movement
28/08/2019,128685825.1,5,Change of Positions
28/08/2019,160957321.6,6,Market Movement
29/08/2019,112450144.5,4,Change of Positions
29/08/2019,560706009.9,11,Market Movement
30/08/2019,146542950.3,5,Change of Positions
30/08/2019,56000000,3,Market Movement
02/09/2019,97500000,5,Change of Positions
02/09/2019,58500000,2,Market Movement
03/09/2019,120691231.6,3,Change of Positions
03/09/2019,147415059,4,Market Movement
04/09/2019,95250089.29,5,Change of Positions
04/09/2019,1148244621,26,Market Movement
05/09/2019,230814975.6,8,Change of Positions
05/09/2019,983609661.4,24,Market Movement
06/09/2019,76509839.48,4,Change of Positions
06/09/2019,136590241.6,5,Market Movement
09/09/2019,19579318.18,2,Change of Positions
09/09/2019,319375172.2,9,Market Movement
10/09/2019,126489130.4,4,Change of Positions
10/09/2019,64543478.26,2,Market Movement
11/09/2019,204905575.4,6,Change of Positions
11/09/2019,343939425.6,7,Market Movement
12/09/2019,179233011,7,Change of Positions
12/09/2019,554091079.1,17,Market Movement
13/09/2019,408449891.9,6,Change of Positions
13/09/2019,1474325300,35,Market Movement
16/09/2019,94256867.01,4,Change of Positions
16/09/2019,130233024.9,4,Market Movement
17/09/2019,341125249.4,10,Change of Positions
17/09/2019,0,0,Market Movement
18/09/2019,191373239.7,5,Change of Positions
18/09/2019,154621705.3,6,Market Movement
19/09/2019,269335185.7,10,Change of Positions
19/09/2019,304956266.4,5,Market Movement
20/09/2019,445922937.4,11,Change of Positions
20/09/2019,72000000,2,Market Movement
23/09/2019,104403533.5,6,Change of Positions
23/09/2019,882700413.9,22,Market Movement
24/09/2019,129500000,5,Change of Positions
25/09/2019,559902724.7,14,Change of Positions
25/09/2019,66500000,3,Market Movement
26/09/2019,273169318,7,Change of Positions
26/09/2019,33356098.01,3,Market Movement
27/09/2019,256211705.5,11,Change of Positions
27/09/2019,51000000,2,Market Movement
30/09/2019,106846634.2,6,Change of Positions
01/10/2019,113011194.7,6,Change of Positions
01/10/2019,275393191.4,8,Market Movement
02/10/2019,156618807,8,Change of Positions
02/10/2019,558701373,11,Market Movement
03/10/2019,51481599.85,3,Change of Positions
03/10/2019,301476678.1,9,Market Movement
04/10/2019,124168913.4,5,Change of Positions
07/10/2019,62196579.64,3,Change of Positions
07/10/2019,272360138.3,3,Market Movement
08/10/2019,141249863.5,6,Change of Positions
08/10/2019,107781722.2,4,Market Movement
09/10/2019,137659958.1,6,Change of Positions
09/10/2019,215212048.1,5,Market Movement
10/10/2019,290837740.5,4,Change of Positions
10/10/2019,614649123.4,14,Market Movement
11/10/2019,375174816.6,12,Change of Positions
11/10/2019,1072003738,22,Market Movement
14/10/2019,86836474.55,3,Change of Positions
14/10/2019,85500000,3,Market Movement
15/10/2019,385370854.9,8,Change of Positions
15/10/2019,520453302.4,8,Market Movement
16/10/2019,193500000,5,Change of Positions
16/10/2019,32000000,2,Market Movement
