Description,Volume,N.Calls,Typpe
2019-08-01T00:00:00Z,116483464.7,6,Change of Positions
2019-08-01T00:00:00Z,190054045.5,6,Market Movement
2019-08-02T00:00:00Z,437443724.1,11,Change of Positions
2019-08-02T00:00:00Z,760240989.3,20,Market Movement
2019-08-05T00:00:00Z,110580486.5,5,Change of Positions
2019-08-05T00:00:00Z,415072974.4,12,Market Movement
2019-08-06T00:00:00Z,80860848.24,5,Change of Positions
2019-08-06T00:00:00Z,168770313.8,7,Market Movement
2019-08-07T00:00:00Z,165434648.2,6,Change of Positions
2019-08-07T00:00:00Z,604701608.5,21,Market Movement
2019-08-08T00:00:00Z,356104484.9,4,Change of Positions
2019-08-08T00:00:00Z,1301616830,31,Market Movement
2019-08-09T00:00:00Z,82008930.17,3,Change of Positions
2019-08-09T00:00:00Z,398636520.8,8,Market Movement
2019-08-12T00:00:00Z,125488065.5,5,Change of Positions
2019-08-12T00:00:00Z,191567641.5,7,Market Movement
2019-08-13T00:00:00Z,57783104.62,2,Change of Positions
2019-08-13T00:00:00Z,383497148.5,10,Market Movement
2019-08-14T00:00:00Z,54854129.42,2,Change of Positions
2019-08-14T00:00:00Z,544747188.7,17,Market Movement
2019-08-15T00:00:00Z,176251121.1,7,Change of Positions
2019-08-15T00:00:00Z,455349775.8,15,Market Movement
2019-08-16T00:00:00Z,166905561.6,5,Change of Positions
2019-08-16T00:00:00Z,510051141.1,9,Market Movement
2019-08-19T00:00:00Z,171124921.2,2,Change of Positions
2019-08-19T00:00:00Z,1047728578,26,Market Movement
2019-08-20T00:00:00Z,49371253.16,2,Change of Positions
2019-08-20T00:00:00Z,406561239.8,12,Market Movement
2019-08-21T00:00:00Z,243000000,2,Change of Positions
2019-08-21T00:00:00Z,424561239.2,13,Market Movement
2019-08-22T00:00:00Z,26827393.31,2,Change of Positions
2019-08-22T00:00:00Z,371466985.1,13,Market Movement
2019-08-23T00:00:00Z,42371893.36,3,Change of Positions
2019-08-23T00:00:00Z,319942411.3,15,Market Movement
2019-08-26T00:00:00Z,159383941.3,6,Change of Positions
2019-08-26T00:00:00Z,14500000,1,Market Movement
2019-08-27T00:00:00Z,65356628.24,4,Change of Positions
2019-08-27T00:00:00Z,162186599.4,6,Market Movement
2019-08-28T00:00:00Z,128685825.1,5,Change of Positions
2019-08-28T00:00:00Z,160957321.6,6,Market Movement
2019-08-29T00:00:00Z,112450144.5,4,Change of Positions
2019-08-29T00:00:00Z,560706009.9,11,Market Movement
2019-08-30T00:00:00Z,146542950.3,5,Change of Positions
2019-08-30T00:00:00Z,56000000,3,Market Movement
2019-09-02T00:00:00Z,97500000,5,Change of Positions
2019-09-02T00:00:00Z,58500000,2,Market Movement
2019-09-03T00:00:00Z,120691231.6,3,Change of Positions
2019-09-03T00:00:00Z,147415059,4,Market Movement
2019-09-04T00:00:00Z,95250089.29,5,Change of Positions
2019-09-04T00:00:00Z,1148244621,26,Market Movement
2019-09-05T00:00:00Z,230814975.6,8,Change of Positions
2019-09-05T00:00:00Z,983609661.4,24,Market Movement
2019-09-06T00:00:00Z,76509839.48,4,Change of Positions
2019-09-06T00:00:00Z,136590241.6,5,Market Movement
2019-09-09T00:00:00Z,19579318.18,2,Change of Positions
2019-09-09T00:00:00Z,319375172.2,9,Market Movement
2019-09-10T00:00:00Z,126489130.4,4,Change of Positions
2019-09-10T00:00:00Z,64543478.26,2,Market Movement
2019-09-11T00:00:00Z,204905575.4,6,Change of Positions
2019-09-11T00:00:00Z,343939425.6,7,Market Movement
2019-09-12T00:00:00Z,179233011,7,Change of Positions
2019-09-12T00:00:00Z,554091079.1,17,Market Movement
2019-09-13T00:00:00Z,408449891.9,6,Change of Positions
2019-09-13T00:00:00Z,1474325300,35,Market Movement
2019-09-16T00:00:00Z,94256867.01,4,Change of Positions
2019-09-16T00:00:00Z,130233024.9,4,Market Movement
2019-09-17T00:00:00Z,341125249.4,10,Change of Positions
2019-09-17T00:00:00Z,0,0,Market Movement
2019-09-18T00:00:00Z,191373239.7,5,Change of Positions
2019-09-18T00:00:00Z,154621705.3,6,Market Movement
2019-09-19T00:00:00Z,269335185.7,10,Change of Positions
2019-09-19T00:00:00Z,304956266.4,5,Market Movement
2019-09-20T00:00:00Z,445922937.4,11,Change of Positions
2019-09-20T00:00:00Z,72000000,2,Market Movement
2019-09-23T00:00:00Z,104403533.5,6,Change of Positions
2019-09-23T00:00:00Z,882700413.9,22,Market Movement
2019-09-24T00:00:00Z,129500000,5,Change of Positions
2019-09-25T00:00:00Z,559902724.7,14,Change of Positions
2019-09-25T00:00:00Z,66500000,3,Market Movement
2019-09-26T00:00:00Z,273169318,7,Change of Positions
2019-09-26T00:00:00Z,33356098.01,3,Market Movement
2019-09-27T00:00:00Z,256211705.5,11,Change of Positions
2019-09-27T00:00:00Z,51000000,2,Market Movement
2019-09-30T00:00:00Z,106846634.2,6,Change of Positions
2019-10-01T00:00:00Z,113011194.7,6,Change of Positions
2019-10-01T00:00:00Z,275393191.4,8,Market Movement
2019-10-02T00:00:00Z,156618807,8,Change of Positions
2019-10-02T00:00:00Z,558701373,11,Market Movement
2019-10-03T00:00:00Z,51481599.85,3,Change of Positions
2019-10-03T00:00:00Z,301476678.1,9,Market Movement
2019-10-04T00:00:00Z,124168913.4,5,Change of Positions
2019-10-07T00:00:00Z,62196579.64,3,Change of Positions
2019-10-07T00:00:00Z,272360138.3,3,Market Movement
2019-10-08T00:00:00Z,141249863.5,6,Change of Positions
2019-10-08T00:00:00Z,107781722.2,4,Market Movement
2019-10-09T00:00:00Z,137659958.1,6,Change of Positions
2019-10-09T00:00:00Z,215212048.1,5,Market Movement
2019-10-10T00:00:00Z,290837740.5,4,Change of Positions
2019-10-10T00:00:00Z,614649123.4,14,Market Movement
2019-10-11T00:00:00Z,375174816.6,12,Change of Positions
2019-10-11T00:00:00Z,1072003738,22,Market Movement
2019-10-14T00:00:00Z,86836474.55,3,Change of Positions
2019-10-14T00:00:00Z,85500000,3,Market Movement
2019-10-15T00:00:00Z,385370854.9,8,Change of Positions
2019-10-15T00:00:00Z,520453302.4,8,Market Movement
2019-10-16T00:00:00Z,193500000,5,Change of Positions
2019-10-16T00:00:00Z,32000000,2,Market Movement
2019-10-17T00:00:00Z,182993881,9,Change of Positions
2019-10-17T00:00:00Z,228000000,5,Market Movement
2019-10-18T00:00:00Z,399646082.5,13,Change of Positions
2019-10-18T00:00:00Z,189122316.2,5,Market Movement
2019-10-21T00:00:00Z,401752215.2,11,Change of Positions
2019-10-21T00:00:00Z,372675391.4,10,Market Movement
2019-10-22T00:00:00Z,133469451.9,6,Change of Positions
2019-10-22T00:00:00Z,114551784.8,3,Market Movement
2019-10-23T00:00:00Z,51500000,2,Change of Positions
2019-10-23T00:00:00Z,189106053.5,5,Market Movement
2019-10-24T00:00:00Z,53000000,3,Change of Positions
2019-10-24T00:00:00Z,103334291.9,4,Market Movement
