FACT_DATE,TYPE,DEBIT_EUR,TYP
28/01/2022,VAR MARGIN PAID,2142585031,EOD
28/01/2022,MARGIN CALL,508981855,EOD
28/01/2022,MARGIN CALL,1310664246,ID
27/01/2022,VAR MARGIN PAID,1914271751,EOD
27/01/2022,MARGIN CALL,1100212735,ID
27/01/2022,MARGIN CALL,510188591,EOD
26/01/2022,VAR MARGIN PAID,2780793306,EOD
26/01/2022,MARGIN CALL,891663390,EOD
26/01/2022,MARGIN CALL,640877906,ID
25/01/2022,VAR MARGIN PAID,1392108726,EOD
25/01/2022,MARGIN CALL,494765443,EOD
25/01/2022,MARGIN CALL,274340777,ID
24/01/2022,MARGIN CALL,2916994728,ID
24/01/2022,VAR MARGIN PAID,4998141873,EOD
24/01/2022,MARGIN CALL,1107725184,EOD
21/01/2022,MARGIN CALL,1046481776,ID
21/01/2022,VAR MARGIN PAID,3801430946,EOD
21/01/2022,MARGIN CALL,948531777,EOD
20/01/2022,MARGIN CALL,714470563,EOD
20/01/2022,VAR MARGIN PAID,2484258019,EOD
20/01/2022,MARGIN CALL,534257806,ID
19/01/2022,MARGIN CALL,311906877,ID
19/01/2022,MARGIN CALL,507895773,EOD
19/01/2022,VAR MARGIN PAID,1156983190,EOD
18/01/2022,VAR MARGIN PAID,1541154690,EOD
18/01/2022,MARGIN CALL,488088100,ID
18/01/2022,MARGIN CALL,628198130,EOD
17/01/2022,VAR MARGIN PAID,2050474099,EOD
17/01/2022,MARGIN CALL,302177467,EOD
17/01/2022,MARGIN CALL,121338775,ID
14/01/2022,VAR MARGIN PAID,3486556784,EOD
14/01/2022,MARGIN CALL,487741775,ID
14/01/2022,MARGIN CALL,419213468,EOD
13/01/2022,MARGIN CALL,650714511,EOD
13/01/2022,VAR MARGIN PAID,2304774218,EOD
13/01/2022,MARGIN CALL,578753642,ID
12/01/2022,VAR MARGIN PAID,2598356416,EOD
12/01/2022,MARGIN CALL,669585752,ID
12/01/2022,MARGIN CALL,835426201,EOD
11/01/2022,MARGIN CALL,387842014,ID
11/01/2022,MARGIN CALL,562245110,EOD
11/01/2022,VAR MARGIN PAID,1870283406,EOD
10/01/2022,MARGIN CALL,351181923,ID
10/01/2022,VAR MARGIN PAID,1766160532,EOD
10/01/2022,MARGIN CALL,613856751,EOD
07/01/2022,VAR MARGIN PAID,1619896528,EOD
07/01/2022,MARGIN CALL,323359701,ID
07/01/2022,MARGIN CALL,514512462,EOD
06/01/2022,MARGIN CALL,1274649068,ID
06/01/2022,VAR MARGIN PAID,2985766256,EOD
06/01/2022,MARGIN CALL,634961313,EOD
05/01/2022,VAR MARGIN PAID,916466607,EOD
05/01/2022,MARGIN CALL,262096519,ID
05/01/2022,MARGIN CALL,542530066,EOD
04/01/2022,MARGIN CALL,716423911,EOD
04/01/2022,MARGIN CALL,523048276,ID
04/01/2022,VAR MARGIN PAID,1131722356,EOD
03/01/2022,MARGIN CALL,527316632,EOD
03/01/2022,MARGIN CALL,560725251,ID
03/01/2022,VAR MARGIN PAID,1854190482,EOD
31/12/2021,MARGIN CALL,431560168,EOD
31/12/2021,MARGIN CALL,29500000,ID
31/12/2021,VAR MARGIN PAID,375648188,EOD
30/12/2021,MARGIN CALL,588659991,EOD
30/12/2021,MARGIN CALL,328396065,ID
30/12/2021,VAR MARGIN PAID,922304524,EOD
29/12/2021,MARGIN CALL,342657128,EOD
29/12/2021,VAR MARGIN PAID,3640165288,EOD
29/12/2021,MARGIN CALL,741064221,ID
28/12/2021,MARGIN CALL,369324527,EOD
28/12/2021,MARGIN CALL,115182376,ID
28/12/2021,VAR MARGIN PAID,1059105104,EOD
27/12/2021,MARGIN CALL,415861756,EOD
