type,values,model,period,lambda
n_breaches,41,baseline,all,0.9
N_observations,3610,baseline,all,0.9
perc_breaches,0.011357340720221607,baseline,all,0.9
conf_level,0.9886426592797783,baseline,all,0.9
avg_shortfall,-0.021720362772444008,baseline,all,0.9
max_shortfall,-0.07919126367975936,baseline,all,0.9
costs,0.06973013993352344,baseline,all,0.9
peak_to_through,6.869440499282869,baseline,all,0.9
max_1d,1.404815279704965,baseline,all,0.9
max_5d,2.0723893106624334,baseline,all,0.9
max_30d,5.162459809865884,baseline,all,0.9
n_breaches,41,speed,all,0.9
N_observations,3610,speed,all,0.9
perc_breaches,0.011357340720221607,speed,all,0.9
conf_level,0.9886426592797783,speed,all,0.9
avg_shortfall,-0.022685973554317323,speed,all,0.9
max_shortfall,-0.07919126367975936,speed,all,0.9
costs,0.0695847557654208,speed,all,0.9
peak_to_through,6.686514706502427,speed,all,0.9
max_1d,1.404815279704965,speed,all,0.9
max_5d,1.9313851775922233,speed,all,0.9
max_30d,2.3022360128761212,speed,all,0.9
n_breaches,21,floor,all,0.9
N_observations,3610,floor,all,0.9
perc_breaches,0.005817174515235457,floor,all,0.9
conf_level,0.9941828254847646,floor,all,0.9
avg_shortfall,-0.026329293877871186,floor,all,0.9
max_shortfall,-0.07919126367975936,floor,all,0.9
costs,0.08175641778695615,floor,all,0.9
peak_to_through,2.8696567431703177,floor,all,0.9
max_1d,1.244202352588034,floor,all,0.9
max_5d,1.8626567539284222,floor,all,0.9
max_30d,2.8568357858804276,floor,all,0.9
n_breaches,41,cap,all,0.9
N_observations,3610,cap,all,0.9
perc_breaches,0.011357340720221607,cap,all,0.9
conf_level,0.9886426592797783,cap,all,0.9
avg_shortfall,-0.021720362772444008,cap,all,0.9
max_shortfall,-0.07919126367975936,cap,all,0.9
costs,0.06833550031659061,cap,all,0.9
peak_to_through,4.538600435950293,cap,all,0.9
max_1d,1.404815279704965,cap,all,0.9
max_5d,2.0723893106624334,cap,all,0.9
max_30d,3.4686961796154234,cap,all,0.9
n_breaches,21,buffer,all,0.9
N_observations,3610,buffer,all,0.9
perc_breaches,0.005817174515235457,buffer,all,0.9
conf_level,0.9941828254847646,buffer,all,0.9
avg_shortfall,-0.019731822190117126,buffer,all,0.9
max_shortfall,-0.05442700418222436,buffer,all,0.9
costs,0.08617840539205897,buffer,all,0.9
peak_to_through,5.495552399426296,buffer,all,0.9
max_1d,1.404815279704965,buffer,all,0.9
max_5d,2.072389310662434,buffer,all,0.9
max_30d,4.129967847892707,buffer,all,0.9
n_breaches,21,cap_floor,all,0.9
N_observations,3610,cap_floor,all,0.9
perc_breaches,0.005817174515235457,cap_floor,all,0.9
conf_level,0.9941828254847646,cap_floor,all,0.9
avg_shortfall,-0.026329293877871186,cap_floor,all,0.9
max_shortfall,-0.07919126367975936,cap_floor,all,0.9
costs,0.08036139205717256,cap_floor,all,0.9
peak_to_through,1.895965959227707,cap_floor,all,0.9
max_1d,1.244202352588034,cap_floor,all,0.9
max_5d,1.563392907688916,cap_floor,all,0.9
max_30d,1.895965959227707,cap_floor,all,0.9
n_breaches,21,speed_floor,all,0.9
N_observations,3610,speed_floor,all,0.9
perc_breaches,0.005817174515235457,speed_floor,all,0.9
conf_level,0.9941828254847646,speed_floor,all,0.9
avg_shortfall,-0.026329293877871186,speed_floor,all,0.9
max_shortfall,-0.07919126367975936,speed_floor,all,0.9
costs,0.08166917481363685,speed_floor,all,0.9
peak_to_through,2.7932408786167238,speed_floor,all,0.9
max_1d,1.244202352588034,speed_floor,all,0.9
max_5d,1.6915654500257655,speed_floor,all,0.9
max_30d,2.1741637119557535,speed_floor,all,0.9
n_breaches,13,baseline,2020,0.9
N_observations,254,baseline,2020,0.9
perc_breaches,0.051181102362204724,baseline,2020,0.9
conf_level,0.9488188976377953,baseline,2020,0.9
avg_shortfall,-0.028759412448437768,baseline,2020,0.9
max_shortfall,-0.04933998168982821,baseline,2020,0.9
costs,0.10197632359238734,baseline,2020,0.9
peak_to_through,5.47182772875722,baseline,2020,0.9
max_1d,1.244202352588034,baseline,2020,0.9
