type,values,model,period,lambda
n_breaches,24,baseline,all,0.9
N_observations,5505,baseline,all,0.9
perc_breaches,0.004359673024523161,baseline,all,0.9
conf_level,0.9956403269754769,baseline,all,0.9
avg_shortfall,-0.01598073644905332,baseline,all,0.9
max_shortfall,-0.05801889762374722,baseline,all,0.9
costs,0.08225787536382342,baseline,all,0.9
peak_to_through,6.6446378875951755,baseline,all,0.9
max_1d,1.3271709548165427,baseline,all,0.9
max_5d,2.0812501753101618,baseline,all,0.9
max_30d,4.398594662598085,baseline,all,0.9
max_ltm,1.7200919570870055,baseline,all,0.9
avg_ltm,1.2183235487539694,baseline,all,0.9
n_breaches,26,speed,all,0.9
N_observations,5505,speed,all,0.9
perc_breaches,0.004722979109900091,speed,all,0.9
conf_level,0.9952770208901,speed,all,0.9
avg_shortfall,-0.01948140040647242,speed,all,0.9
max_shortfall,-0.060855306728154146,speed,all,0.9
costs,0.0818087940827627,speed,all,0.9
peak_to_through,6.021475493020318,speed,all,0.9
max_1d,1.3271709548165427,speed,all,0.9
max_5d,1.995118266096999,speed,all,0.9
max_30d,1.9152737407686138,speed,all,0.9
max_ltm,1.7200919570870055,speed,all,0.9
avg_ltm,1.2491123678700764,speed,all,0.9
n_breaches,15,floor,all,0.9
N_observations,5504,floor,all,0.9
perc_breaches,0.0027252906976744187,floor,all,0.9
conf_level,0.9972747093023255,floor,all,0.9
avg_shortfall,-0.018618166435585056,floor,all,0.9
max_shortfall,-0.05801889762374722,floor,all,0.9
costs,0.08815751565169133,floor,all,0.9
peak_to_through,3.832118318870213,floor,all,0.9
max_1d,1.2461107561313145,floor,all,0.9
max_5d,1.7948261061694475,floor,all,0.9
max_30d,3.2904748075902157,floor,all,0.9
max_ltm,1.4825682875503206,floor,all,0.9
avg_ltm,1.1983234449155322,floor,all,0.9
n_breaches,25,cap,all,0.9
N_observations,5505,cap,all,0.9
perc_breaches,0.004541326067211626,cap,all,0.9
conf_level,0.9954586739327884,cap,all,0.9
avg_shortfall,-0.015935136319829457,cap,all,0.9
max_shortfall,-0.05801889762374722,cap,all,0.9
costs,0.08050701110741541,cap,all,0.9
peak_to_through,3.7478670421576323,cap,all,0.9
max_1d,1.3271709548165427,cap,all,0.9
max_5d,2.0812501753101618,cap,all,0.9
max_30d,2.960350255888464,cap,all,0.9
max_ltm,1.7200919570870055,cap,all,0.9
avg_ltm,1.2135669049796358,cap,all,0.9
n_breaches,9,buffer,all,0.9
N_observations,5505,buffer,all,0.9
perc_breaches,0.0016348773841961854,buffer,all,0.9
conf_level,0.9983651226158038,buffer,all,0.9
avg_shortfall,-0.012112485527945003,buffer,all,0.9
max_shortfall,-0.027961546612209176,buffer,all,0.9
costs,0.10185130583817867,buffer,all,0.9
peak_to_through,5.31571031007614,buffer,all,0.9
max_1d,1.3271709548165427,buffer,all,0.9
max_5d,2.0812501753101613,buffer,all,0.9
max_30d,3.518875730078468,buffer,all,0.9
max_ltm,1.3760735656696044,buffer,all,0.9
avg_ltm,1.1413999601491696,buffer,all,0.9
n_breaches,16,cap_floor,all,0.9
N_observations,5504,cap_floor,all,0.9
perc_breaches,0.0029069767441860465,cap_floor,all,0.9
conf_level,0.997093023255814,cap_floor,all,0.9
