DATE,NAV
2004-12-30,29.948055
2004-12-29,29.907798
2004-12-28,29.875288
2004-12-27,29.974763
2004-12-23,29.900421
2004-12-22,29.747792
2004-12-21,29.538785
2004-12-20,29.549679
2004-12-17,29.349526
2004-12-16,29.717244
2004-12-15,29.720826
2004-12-14,29.788434
2004-12-13,29.699808
2004-12-10,29.441701
2004-12-09,29.325108
2004-12-08,29.545324
2004-12-07,29.690595
2004-12-06,29.451771
2004-12-03,29.591152
2004-12-02,29.588489
2004-12-01,29.435139
2004-11-30,29.301349
2004-11-29,29.574391
2004-11-26,29.336764
2004-11-25,29.407738
2004-11-24,29.195899
2004-11-23,29.300014
2004-11-22,29.121532
2004-11-19,29.587766
2004-11-18,29.533825
2004-11-17,29.417088
2004-11-16,29.195232
2004-11-15,29.423237
2004-11-12,29.453344
2004-11-11,29.3379
2004-11-10,29.113253
2004-11-09,29.176184
2004-11-08,29.131194
2004-11-05,29.340922
2004-11-04,28.931101
2004-11-03,29.088891
2004-11-02,28.873174
2004-11-01,28.721251
2004-10-29,28.704336
2004-10-28,28.546823
2004-10-27,27.941217
2004-10-26,27.712623
2004-10-25,27.763572
2004-10-22,28.417618
2004-10-21,28.223607
2004-10-20,28.106239
2004-10-19,28.454928
2004-10-18,28.14327
2004-10-15,27.992421
2004-10-14,28.155078
2004-10-13,28.48978
2004-10-12,28.214733
2004-10-11,28.534178
2004-10-08,28.690859
2004-10-07,28.724329
2004-10-06,28.664952
2004-10-05,28.650549
2004-10-04,28.699566
2004-10-01,28.086393
2004-09-30,27.843997
2004-09-29,27.905179
2004-09-28,27.744451
2004-09-27,27.608982
2004-09-24,27.755031
2004-09-23,27.70812
2004-09-22,28.070208
2004-09-21,28.229633
2004-09-20,28.045097
2004-09-17,28.251869
2004-09-16,28.01716
2004-09-15,28.05269
2004-09-14,28.107013
2004-09-13,28.07233
2004-09-10,27.83047
2004-09-09,27.762719
2004-09-08,27.854656
2004-09-07,27.921468
2004-09-06,27.888508
2004-09-03,27.823665
2004-09-02,27.467334
2004-09-01,27.256489
2004-08-31,27.288368
2004-08-30,27.41477
2004-08-27,27.37265
2004-08-26,27.30563
2004-08-25,27.021745
2004-08-24,27.115521
2004-08-23,26.958272
2004-08-20,26.636216
2004-08-19,26.762513
2004-08-18,26.492846
2004-08-17,26.707202
2004-08-16,26.244232
2004-08-13,26.223201
2004-08-12,26.277981
2004-08-11,26.310376
2004-08-10,26.501639
2004-08-09,26.317273
2004-08-06,26.7156
2004-08-05,27.41964
2004-08-04,27.254095
2004-08-03,27.499965
2004-08-02,27.362249
2004-07-30,27.522403
2004-07-29,27.497519
2004-07-28,27.205378
2004-07-27,26.956366
2004-07-26,26.960156
2004-07-23,27.072309
2004-07-22,27.252547
2004-07-21,27.688081
2004-07-20,27.380682
2004-07-19,27.42903
2004-07-16,27.629363
2004-07-15,27.657045
2004-07-14,27.760294
2004-07-13,28.071662
2004-07-12,27.997866
2004-07-09,28.122347
2004-07-08,28.029772
2004-07-07,28.031148
2004-07-06,28.00994
2004-07-05,28.20233
2004-07-02,28.18916
2004-07-01,28.592382
2004-06-30,28.615024
2004-06-29,28.610463
2004-06-28,28.705086
2004-06-25,28.516031
2004-06-24,28.523884
2004-06-23,28.278029
2004-06-22,28.299564
2004-06-21,28.521451
2004-06-18,28.433006
2004-06-17,28.334499
2004-06-16,28.300174
2004-06-15,28.077639
2004-06-14,28.296997
2004-06-11,28.704635
2004-06-10,28.691166
2004-06-09,28.724402
2004-06-08,28.690534
2004-06-07,28.697766
2004-06-04,28.3617
2004-06-03,28.013275
2004-06-02,28.14644
2004-06-01,27.965669
2004-05-31,28.222209
2004-05-28,28.120419
2004-05-27,28.260988
2004-05-26,28.054252
2004-05-25,27.631159
2004-05-24,27.974523
2004-05-21,27.550108
2004-05-20,27.688775
2004-05-19,27.786211
2004-05-18,27.24367
2004-05-17,27.00993
2004-05-14,27.504541
2004-05-13,27.514978
2004-05-12,27.584708
2004-05-11,27.747364
2004-05-10,27.555181
2004-05-07,28.057202
2004-05-06,28.386297
2004-05-05,28.689805
2004-05-04,28.512786
2004-05-03,28.504649
2004-04-30,28.338855
2004-04-29,28.53742
2004-04-28,28.951937
2004-04-27,29.275352
2004-04-26,29.515552
2004-04-23,29.407628
2004-04-22,28.974055
2004-04-21,28.951728
2004-04-20,29.318138
2004-04-19,28.867381
2004-04-16,28.882451
2004-04-15,29.046598
2004-04-14,28.823889
2004-04-13,29.303257
2004-04-08,29.087239
2004-04-07,28.984581
2004-04-06,29.129554
2004-04-05,29.385603
2004-04-02,29.141888
2004-04-01,28.322043
2004-03-31,28.476846
2004-03-30,28.144977
2004-03-29,28.273997
2004-03-26,27.98914
2004-03-25,27.736017
2004-03-24,27.386442
2004-03-23,27.673912
2004-03-22,27.32205
2004-03-19,27.914702
2004-03-18,28.169149
2004-03-17,28.436648
2004-03-16,28.05157
2004-03-15,28.304088
2004-03-12,28.668513
2004-03-11,28.847369
2004-03-10,29.465986
2004-03-09,29.675597
2004-03-08,29.960131
2004-03-05,29.64096
2004-03-04,29.731817
2004-03-03,29.642897
2004-03-02,29.650862
2004-03-01,29.458565
2004-02-27,29.441038
2004-02-26,29.059523
2004-02-25,29.02092
2004-02-24,29.006139
2004-02-23,29.47909
2004-02-20,29.480983
2004-02-19,29.625783
2004-02-18,29.318066
2004-02-17,29.260248
2004-02-16,29.015209
2004-02-13,29.09037
2004-02-12,29.204888
2004-02-11,29.195593
2004-02-10,28.992502000000002
2004-02-09,29.005742
2004-02-06,28.505644
2004-02-05,28.636336
2004-02-04,28.549494
2004-02-03,28.666456
2004-02-02,28.872742
2004-01-30,28.791236
2004-01-29,29.034899
2004-01-28,29.245508
2004-01-27,29.348434
2004-01-26,29.126207
2004-01-23,29.225872
2004-01-22,29.316841
2004-01-21,28.962072
2004-01-20,29.044838
2004-01-19,29.090163
2004-01-16,28.940686
2004-01-15,28.644174
2004-01-14,28.531016
2004-01-13,28.46507
2004-01-12,28.210638
2004-01-09,28.243675
2004-01-08,28.530044
2004-01-07,28.130866
2004-01-06,28.353874
2004-01-05,28.378078
2004-01-02,28.1299
2003-12-30,27.897803
2003-12-29,27.699738
2003-12-23,27.514295
2003-12-22,27.534452
2003-12-19,27.454459
2003-12-18,27.434832
2003-12-17,27.195482
2003-12-16,27.29946
2003-12-15,27.367483
2003-12-12,27.134619
2003-12-11,27.042477
2003-12-10,26.866923
2003-12-09,27.138781
2003-12-08,26.871038
2003-12-05,26.988062
2003-12-04,27.131299
2003-12-03,27.307958
2003-12-02,27.051699
2003-12-01,26.950591
2003-11-28,26.581276
2003-11-27,26.645077
2003-11-26,26.740005
2003-11-25,26.685174
2003-11-24,26.527528
2003-11-21,26.033018
2003-11-20,25.804272
2003-11-19,25.910018
2003-11-18,26.329452
2003-11-17,26.373088
2003-11-14,26.935061
2003-11-13,26.662255
2003-11-12,26.517187
2003-11-11,26.427923
2003-11-10,26.824555
2003-11-07,26.887933
2003-11-06,26.644654
2003-11-05,26.568109
2003-11-04,26.513929
2003-11-03,26.532006
2003-10-31,26.044723
2003-10-30,26.070711
2003-10-29,25.824253
2003-10-28,25.714146
2003-10-27,25.512106
2003-10-24,25.169211
2003-10-23,25.259976
2003-10-22,25.508847
2003-10-21,25.887501
2003-10-20,25.834362
2003-10-17,25.988657
2003-10-16,25.824931
2003-10-15,26.148547
2003-10-14,25.823771
2003-10-13,25.845573
2003-10-10,25.485185
2003-10-09,25.500579
2003-10-08,25.234119
2003-10-07,24.949362
2003-10-06,25.33458
2003-10-03,25.265115
2003-10-02,24.757906
2003-10-01,24.396323
2003-09-30,24.367173
2003-09-29,24.849775
2003-09-26,24.745906
2003-09-25,24.942821
2003-09-24,25.309551
2003-09-23,25.336498
2003-09-22,25.400804
2003-09-19,26.230388
2003-09-18,26.237863
2003-09-17,26.360385
2003-09-16,26.071789
2003-09-15,25.904929
2003-09-12,25.622773
2003-09-11,26.035458
2003-09-10,26.034754
2003-09-09,26.375828
2003-09-08,26.644082
2003-09-05,26.450104
2003-09-04,26.699155
2003-09-03,26.776173
2003-09-02,26.398746
2003-09-01,26.219593
2003-08-29,26.041686
2003-08-28,26.121496
2003-08-27,25.790348
2003-08-26,25.850661
2003-08-25,26.030289
2003-08-22,26.377129
2003-08-21,26.318527
2003-08-20,25.887011
2003-08-19,26.150018
2003-08-18,25.947945
2003-08-15,25.841619
2003-08-14,25.457731
2003-08-13,25.351986
2003-08-12,25.266581
2003-08-11,25.041471
2003-08-08,25.022795
2003-08-07,24.603964
2003-08-06,24.80331
2003-08-05,25.106764
2003-08-04,25.110351
2003-08-01,25.190746
2003-07-31,25.475976
2003-07-30,25.063459
2003-07-29,25.26858
2003-07-28,25.057293
2003-07-25,24.882233
2003-07-24,24.980624
2003-07-23,24.609157
2003-07-22,24.535184
2003-07-21,24.598803
2003-07-18,24.927685
2003-07-17,24.863519
2003-07-16,25.296985
2003-07-15,25.457961
2003-07-14,25.369273
2003-07-11,24.90194
2003-07-10,24.702395
2003-07-09,24.983642
2003-07-08,25.000402
2003-07-07,25.042013
2003-07-04,24.383633
2003-07-03,24.282574
2003-07-02,24.436195
2003-07-01,24.097329
2003-06-30,24.825993
2003-06-27,24.734071
2003-06-26,24.815
2003-06-25,24.704463
2003-06-24,24.737832
2003-06-23,24.959493
2003-06-20,25.221505
2003-06-19,25.19906
2003-06-18,25.333798
2003-06-17,25.238545
2003-06-16,24.846334
2003-06-13,25.44498
2003-06-12,25.587497
2003-06-11,25.146746
2003-06-10,24.872652
2003-06-09,24.670285
2003-06-06,25.028657
2003-06-05,24.401701
2003-06-04,24.47774
2003-06-03,24.333171
2003-06-02,24.383036
2003-05-30,23.955827
2003-05-29,23.959558
2003-05-28,23.787325
2003-05-27,22.889811
2003-05-26,23.280453
2003-05-23,23.055137
2003-05-22,23.135876
2003-05-21,22.780891
2003-05-20,23.239897
2003-05-19,23.538866
2003-05-16,24.270292
2003-05-15,24.106415
2003-05-14,23.899937
2003-05-13,23.707663
2003-05-12,23.599005
2003-05-09,23.676213
2003-05-08,23.562823
2003-05-07,24.259347000000002
2003-05-06,24.328301
2003-05-05,24.242835
2003-05-02,23.540883
2003-04-30,24.057782
2003-04-29,24.25529
2003-04-28,23.657436
2003-04-25,23.409306
2003-04-24,23.94051
2003-04-23,24.251422
2003-04-22,23.49224
2003-04-17,23.587531
2003-04-16,23.715454
2003-04-15,23.50401
2003-04-14,23.0741
2003-04-11,23.220706
2003-04-10,23.047585
2003-04-09,23.425052
2003-04-08,23.284885
2003-04-07,23.726949
2003-04-04,22.762727
2003-04-03,22.488523
2003-04-02,21.9616
2003-04-01,20.98562
2003-03-31,20.862365
2003-03-28,21.547982
2003-03-27,21.478913
2003-03-26,22.336256
2003-03-25,21.874436
2003-03-24,22.130277
2003-03-21,22.686561
2003-03-20,21.938555
2003-03-19,22.290787
2003-03-18,21.669309
2003-03-17,21.018343
2003-03-14,20.613394
2003-03-13,19.785175
2003-03-12,19.155691
2003-03-11,19.782772
2003-03-10,19.942707
2003-03-07,20.438102
2003-03-06,20.904246
2003-03-05,21.243116
2003-03-04,21.273609
2003-03-03,22.174853
2003-02-28,21.774411
2003-02-27,21.119609
2003-02-26,21.07478
2003-02-25,21.44767
2003-02-24,22.155939
2003-02-21,22.320448
2003-02-20,22.489305
2003-02-19,22.851441
2003-02-18,23.162913
2003-02-17,22.750854
2003-02-14,21.998349
2003-02-13,21.766703
2003-02-12,21.979402
